pod_id,algorithm,timestamp,success,execution_time,emissions,node,timeslot,considered_options,solver_iterations,solver_status
m105-duration-1h-deadline-7h,optimal,1742741839.8655632,True,0.009464740753173828,0.08198656509486565,node-1-fr-smartphone,2,30,0,Optimal
m106-duration-3h-deadline-5h,optimal,1742741839.8730376,True,0.0066068172454833984,3.9173507620484926,node-2-es-laptop,1,16,0,Optimal
m107-duration-6h-deadline-12h,optimal,1742741884.0535986,True,0.025177478790283203,2.4291184141201265,node-0-de-iot,8,47,0,Optimal
m108-duration-1h-deadline-25h,optimal,1742741884.0877101,True,0.030786514282226562,0.13398656509486565,node-1-fr-smartphone,13,146,0,Optimal
m109-duration-3h-deadline-5h,optimal,1742741884.1230955,True,0.02381443977355957,2.6468507620484925,node-2-es-laptop,1,16,0,Optimal
m110-duration-6h-deadline-8h,optimal,1742741884.1510396,True,0.024416685104370117,11.010951524096985,node-6-es-laptop,1,28,0,Optimal
m111-duration-1h-deadline-25h,optimal,1742741884.1696072,True,0.015900373458862305,0.057986565094865654,node-5-fr-smartphone,14,150,0,Optimal
m112-duration-3h-deadline-27h,optimal,1742741884.1933138,True,0.02187800407409668,0.13075969528459694,node-1-fr-smartphone,14,160,0,Optimal
m113-duration-6h-deadline-8h,optimal,1742741884.209561,True,0.014776229858398438,11.010951524096985,node-6-es-laptop,1,28,0,Optimal
m114-duration-1h-deadline-7h,optimal,1742741884.2422335,True,0.02728724479675293,0.08698656509486566,node-1-fr-smartphone,0,29,0,Optimal
m115-duration-3h-deadline-5h,optimal,1742741884.2680364,True,0.022591114044189453,3.9173507620484926,node-2-es-laptop,1,16,0,Optimal
m116-duration-6h-deadline-12h,optimal,1742741884.2936916,True,0.022124767303466797,5.547618414120127,node-0-de-iot,8,47,0,Optimal
m117-duration-1h-deadline-3h,optimal,1742741884.3107853,True,0.014741182327270508,0.13798656509486565,node-1-fr-smartphone,0,13,0,Optimal
m118-duration-3h-deadline-9h,optimal,1742741884.3378546,True,0.026214122772216797,3.9173507620484926,node-6-es-laptop,1,32,0,Optimal
m119-duration-6h-deadline-8h,optimal,1742741884.3586755,True,0.01685190200805664,5.293701524096985,node-6-es-laptop,1,28,0,Optimal
m120-duration-1h-deadline-7h,optimal,1742741884.387004,True,0.02626776695251465,0.08698656509486566,node-1-fr-smartphone,0,29,0,Optimal
m121-duration-3h-deadline-27h,optimal,1742741884.4291646,True,0.04122424125671387,0.413959695284597,node-5-fr-smartphone,17,153,0,Optimal
m122-duration-6h-deadline-30h,optimal,1742741884.4700572,True,0.03995943069458008,0.3479193905691939,node-1-fr-smartphone,14,183,0,Optimal
m123-duration-1h-deadline-3h,optimal,1742741884.488486,True,0.01748347282409668,0.08698656509486566,node-1-fr-smartphone,0,13,0,Optimal
m124-duration-3h-deadline-5h,optimal,1742741931.725866,True,0.037485361099243164,5.505475762048492,node-2-es-laptop,1,16,0,Optimal
m125-duration-6h-deadline-8h,optimal,1742741931.7421753,True,0.013926506042480469,5.293701524096985,node-6-es-laptop,1,28,0,Optimal
m126-duration-1h-deadline-7h,optimal,1742741931.7531505,True,0.008582353591918945,0.04618656509486565,node-1-fr-smartphone,0,29,0,Optimal
m127-duration-3h-deadline-5h,optimal,1742741931.7598956,True,0.005961894989013672,3.9173507620484926,node-2-es-laptop,1,16,0,Optimal
m128-duration-6h-deadline-12h,optimal,1742741931.7781117,True,0.017268896102905273,3.4686184141201264,node-0-de-iot,8,47,0,Optimal
m129-duration-1h-deadline-7h,optimal,1742741931.7923527,True,0.012208700180053711,0.06148656509486566,node-1-fr-smartphone,0,29,0,Optimal
m130-duration-3h-deadline-27h,optimal,1742741931.8142967,True,0.019034385681152344,0.17395969528459695,node-1-fr-smartphone,11,155,0,Optimal
m131-duration-6h-deadline-8h,optimal,1742741931.8240664,True,0.008461952209472656,6.246576524096985,node-6-es-laptop,1,28,0,Optimal
m132-duration-1h-deadline-25h,optimal,1742741931.8403625,True,0.014718055725097656,0.057986565094865654,node-5-fr-smartphone,14,148,0,Optimal
m133-duration-3h-deadline-5h,optimal,1742741931.8523886,True,0.010600090026855469,3.1232882620484923,node-2-es-laptop,1,16,0,Optimal
m134-duration-6h-deadline-30h,optimal,1742741931.866624,True,0.013144969940185547,0.2615193905691939,node-1-fr-smartphone,14,181,0,Optimal
m135-duration-1h-deadline-25h,optimal,1742741931.8779237,True,0.010377168655395508,0.057986565094865654,node-1-fr-smartphone,8,150,0,Optimal
m136-duration-3h-deadline-27h,optimal,1742741931.894746,True,0.015787363052368164,0.413959695284597,node-1-fr-smartphone,17,146,0,Optimal
m137-duration-6h-deadline-8h,optimal,1742741980.7698665,True,0.015020132064819336,7.834701524096985,node-6-es-laptop,1,28,0,Optimal
m138-duration-1h-deadline-25h,optimal,1742741980.7844198,True,0.013565301895141602,0.04488656509486565,node-1-fr-smartphone,12,146,0,Optimal
m139-duration-3h-deadline-9h,optimal,1742741980.7952414,True,0.00904226303100586,3.9173507620484926,node-6-es-laptop,1,32,0,Optimal
m140-duration-6h-deadline-30h,optimal,1742741980.817995,True,0.020038127899169922,0.827919390569194,node-1-fr-smartphone,17,170,0,Optimal
m141-duration-1h-deadline-25h,optimal,1742741980.8354867,True,0.016141891479492188,0.059736565094865655,node-1-fr-smartphone,12,146,0,Optimal
m142-duration-3h-deadline-27h,optimal,1742741980.8550017,True,0.01828145980834961,0.17395969528459695,node-1-fr-smartphone,11,154,0,Optimal
m143-duration-6h-deadline-12h,optimal,1742741980.8795135,True,0.023593425750732422,1.8054184141201264,node-0-de-iot,8,47,0,Optimal
m144-duration-1h-deadline-3h,optimal,1742741980.8939946,True,0.012396097183227539,0.3471030690200211,node-0-de-iot,1,12,0,Optimal
m145-duration-3h-deadline-27h,optimal,1742741980.9146903,True,0.01963067054748535,0.13075969528459694,node-1-fr-smartphone,11,155,0,Optimal
m146-duration-6h-deadline-12h,optimal,1742741980.9229689,True,0.007370471954345703,7.834701524096985,node-6-es-laptop,1,44,0,Optimal
m147-duration-1h-deadline-7h,optimal,1742741980.9297667,True,0.005995035171508789,0.7926030690200211,node-4-de-iot,1,28,0,Optimal
m148-duration-3h-deadline-27h,optimal,1742741980.9404202,True,0.009812116622924805,0.24595969528459694,node-1-fr-smartphone,11,147,0,Optimal
m149-duration-6h-deadline-12h,optimal,1742741980.9476633,True,0.0064580440521240234,2.4291184141201265,node-0-de-iot,8,47,0,Optimal
m150-duration-1h-deadline-25h,optimal,1742741980.9595249,True,0.01082921028137207,0.04358656509486565,node-5-fr-smartphone,14,147,0,Optimal
m151-duration-3h-deadline-27h,optimal,1742741980.9708173,True,0.010294914245605469,0.13465969528459693,node-5-fr-smartphone,12,154,0,Optimal
m152-duration-6h-deadline-30h,optimal,1742742032.0944307,True,0.016107559204101562,0.827919390569194,node-1-fr-smartphone,17,170,0,Optimal
m153-duration-1h-deadline-3h,optimal,1742742032.1018562,True,0.006342887878417969,0.3471030690200211,node-0-de-iot,1,12,0,Optimal
m154-duration-3h-deadline-5h,optimal,1742742032.1089096,True,0.006155967712402344,3.1232882620484923,node-2-es-laptop,1,16,0,Optimal
m155-duration-6h-deadline-8h,optimal,1742742032.1228068,True,0.012984752655029297,7.834701524096985,node-6-es-laptop,1,28,0,Optimal
m156-duration-1h-deadline-25h,optimal,1742742032.1475444,True,0.02044081687927246,0.08198656509486565,node-1-fr-smartphone,8,139,0,Optimal
m157-duration-3h-deadline-9h,optimal,1742742032.1628382,True,0.013710498809814453,5.505475762048492,node-6-es-laptop,1,32,0,Optimal
m158-duration-6h-deadline-12h,optimal,1742742032.1752965,True,0.009011268615722656,7.834701524096985,node-6-es-laptop,1,44,0,Optimal
m159-duration-1h-deadline-3h,optimal,1742742032.185912,True,0.008942604064941406,0.258003069020021,node-0-de-iot,1,12,0,Optimal
m160-duration-3h-deadline-9h,optimal,1742742032.198529,True,0.011613607406616211,5.505475762048492,node-6-es-laptop,1,32,0,Optimal
m161-duration-6h-deadline-30h,optimal,1742742032.214251,True,0.01443171501159668,0.5219193905691939,node-1-fr-smartphone,17,170,0,Optimal
m162-duration-1h-deadline-25h,optimal,1742742032.2307153,True,0.014530181884765625,0.04488656509486565,node-1-fr-smartphone,15,139,0,Optimal
m163-duration-3h-deadline-9h,optimal,1742742032.2402973,True,0.008642911911010742,3.9173507620484926,node-6-es-laptop,1,32,0,Optimal
m164-duration-6h-deadline-30h,optimal,1742742077.757028,True,0.014566183090209961,0.5669193905691939,node-5-fr-smartphone,19,162,0,Optimal
m165-duration-1h-deadline-25h,optimal,1742742077.7698355,True,0.01181936264038086,0.059736565094865655,node-1-fr-smartphone,13,131,0,Optimal
m166-duration-3h-deadline-5h,optimal,1742742077.7812657,True,0.009439229965209961,2.6468507620484925,node-2-es-laptop,1,12,0,Optimal
m167-duration-6h-deadline-12h,optimal,1742742077.7932866,True,0.011091470718383789,5.293701524096985,node-2-es-laptop,1,40,0,Optimal
m168-duration-1h-deadline-25h,optimal,1742742077.8047888,True,0.01002812385559082,0.08448656509486566,node-1-fr-smartphone,13,131,0,Optimal
