region,reference_location,latitude,longitude,weather_site_source_note,weather_site_confidence,slot_index,forecast_datetime_utc,weather_time_utc,dry_bulb_c,wet_bulb_c,wet_bulb_f,model_wet_bulb_f,cooling_scenario,cooling_profile,activation_rule,activation_logic,evaporative_mode_active,dry_mode_wue_l_per_kwh,wet_tower_wue_l_per_kwh,evap_multiplier,evap_activation_dry_bulb_c,evap_activation_wet_bulb_c,direct_wue_l_per_kwh,model,source_dataset,source_url,cooling_profile_source_basis,cooling_profile_notes
DE,Frankfurt am Main metro proxy,50.1109,8.6821,Metro-scale proxy for the dominant DE cloud/data-center hub,metro,20,2025-02-27T06:00:00.000Z,2025-02-27T06:00,4.5,3.4,38.12,38.12,base,hybrid_economized,threshold,any,False,0.03,1.34849971776,0.35,26.0,18.0,0.03,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Base hybrid/economized scenario calibrated to Microsoft outside-air,DOE economizer
DE,Frankfurt am Main metro proxy,50.1109,8.6821,Metro-scale proxy for the dominant DE cloud/data-center hub,metro,21,2025-02-27T07:00:00.000Z,2025-02-27T07:00,4.5,3.5,38.3,38.3,base,hybrid_economized,threshold,any,False,0.03,1.3514626559999998,0.35,26.0,18.0,0.03,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Base hybrid/economized scenario calibrated to Microsoft outside-air,DOE economizer
DE,Frankfurt am Main metro proxy,50.1109,8.6821,Metro-scale proxy for the dominant DE cloud/data-center hub,metro,22,2025-02-27T08:00:00.000Z,2025-02-27T08:00,4.9,3.9,39.02,39.02,base,hybrid_economized,threshold,any,False,0.03,1.36319154816,0.35,26.0,18.0,0.03,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Base hybrid/economized scenario calibrated to Microsoft outside-air,DOE economizer
DE,Frankfurt am Main metro proxy,50.1109,8.6821,Metro-scale proxy for the dominant DE cloud/data-center hub,metro,23,2025-02-27T09:00:00.000Z,2025-02-27T09:00,5.7,4.2,39.56,39.56,base,hybrid_economized,threshold,any,False,0.03,1.37185921344,0.35,26.0,18.0,0.03,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Base hybrid/economized scenario calibrated to Microsoft outside-air,DOE economizer
DE,Frankfurt am Main metro proxy,50.1109,8.6821,Metro-scale proxy for the dominant DE cloud/data-center hub,metro,24,2025-02-27T10:00:00.000Z,2025-02-27T10:00,6.5,4.7,40.46,40.46,base,hybrid_economized,threshold,any,False,0.03,1.38605960064,0.35,26.0,18.0,0.03,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Base hybrid/economized scenario calibrated to Microsoft outside-air,DOE economizer
FR,Paris metro proxy,48.8566,2.3522,Metro-scale proxy for the dominant FR cloud/data-center hub,metro,0,2025-02-26T10:00:00.000Z,2025-02-26T10:00,7.4,4.9,40.82,40.82,base,hybrid_economized,threshold,any,False,0.03,1.39165375296,0.35,26.0,18.0,0.03,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Base hybrid/economized scenario calibrated to Microsoft outside-air,DOE economizer
FR,Paris metro proxy,48.8566,2.3522,Metro-scale proxy for the dominant FR cloud/data-center hub,metro,1,2025-02-26T11:00:00.000Z,2025-02-26T11:00,9.4,6.0,42.8,42.8,base,hybrid_economized,threshold,any,False,0.03,1.421543136,0.35,26.0,18.0,0.03,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Base hybrid/economized scenario calibrated to Microsoft outside-air,DOE economizer
FR,Paris metro proxy,48.8566,2.3522,Metro-scale proxy for the dominant FR cloud/data-center hub,metro,2,2025-02-26T12:00:00.000Z,2025-02-26T12:00,10.3,6.7,44.06,44.06,base,hybrid_economized,threshold,any,False,0.03,1.4397896294399999,0.35,26.0,18.0,0.03,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Base hybrid/economized scenario calibrated to Microsoft outside-air,DOE economizer
FR,Paris metro proxy,48.8566,2.3522,Metro-scale proxy for the dominant FR cloud/data-center hub,metro,3,2025-02-26T13:00:00.000Z,2025-02-26T13:00,10.3,6.5,43.7,43.7,base,hybrid_economized,threshold,any,False,0.03,1.4346377759999998,0.35,26.0,18.0,0.03,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Base hybrid/economized scenario calibrated to Microsoft outside-air,DOE economizer
FR,Paris metro proxy,48.8566,2.3522,Metro-scale proxy for the dominant FR cloud/data-center hub,metro,4,2025-02-26T14:00:00.000Z,2025-02-26T14:00,10.7,6.4,43.519999999999996,43.519999999999996,base,hybrid_economized,threshold,any,False,0.03,1.4320434201599996,0.35,26.0,18.0,0.03,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Base hybrid/economized scenario calibrated to Microsoft outside-air,DOE economizer
