region,reference_location,latitude,longitude,slot_index,forecast_datetime_utc,weather_time_utc,wet_bulb_c,wet_bulb_f,model_wet_bulb_f,direct_wue_l_per_kwh,model,source_dataset,source_url
FR,Paris,48.8566,2.3522,0,2025-02-26T10:00:00.000Z,2025-02-26T10:00,4.9,40.82,40.82,1.39165375296,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
FR,Paris,48.8566,2.3522,1,2025-02-26T11:00:00.000Z,2025-02-26T11:00,6.0,42.8,42.8,1.421543136,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
FR,Paris,48.8566,2.3522,2,2025-02-26T12:00:00.000Z,2025-02-26T12:00,6.7,44.06,44.06,1.4397896294399999,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
FR,Paris,48.8566,2.3522,3,2025-02-26T13:00:00.000Z,2025-02-26T13:00,6.5,43.7,43.7,1.4346377759999998,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
FR,Paris,48.8566,2.3522,4,2025-02-26T14:00:00.000Z,2025-02-26T14:00,6.4,43.519999999999996,43.519999999999996,1.4320434201599996,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
FR,Paris,48.8566,2.3522,5,2025-02-26T15:00:00.000Z,2025-02-26T15:00,6.7,44.06,44.06,1.4397896294399999,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
FR,Paris,48.8566,2.3522,6,2025-02-26T16:00:00.000Z,2025-02-26T16:00,6.9,44.42,44.42,1.4448923385599999,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
FR,Paris,48.8566,2.3522,7,2025-02-26T17:00:00.000Z,2025-02-26T17:00,6.9,44.42,44.42,1.4448923385599999,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
FR,Paris,48.8566,2.3522,8,2025-02-26T18:00:00.000Z,2025-02-26T18:00,6.8,44.239999999999995,44.239999999999995,1.4423471270399997,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
FR,Paris,48.8566,2.3522,9,2025-02-26T19:00:00.000Z,2025-02-26T19:00,7.3,45.14,45.14,1.45495032384,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
FR,Paris,48.8566,2.3522,10,2025-02-26T20:00:00.000Z,2025-02-26T20:00,7.3,45.14,45.14,1.45495032384,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
FR,Paris,48.8566,2.3522,11,2025-02-26T21:00:00.000Z,2025-02-26T21:00,6.9,44.42,44.42,1.4448923385599999,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
FR,Paris,48.8566,2.3522,12,2025-02-26T22:00:00.000Z,2025-02-26T22:00,6.2,43.16,43.16,1.42681785024,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
FR,Paris,48.8566,2.3522,13,2025-02-26T23:00:00.000Z,2025-02-26T23:00,5.4,41.72,41.72,1.4054241273599999,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
FR,Paris,48.8566,2.3522,14,2025-02-27T00:00:00.000Z,2025-02-27T00:00,4.9,40.82,40.82,1.39165375296,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
FR,Paris,48.8566,2.3522,15,2025-02-27T01:00:00.000Z,2025-02-27T01:00,4.6,40.28,40.28,1.38324409536,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
FR,Paris,48.8566,2.3522,16,2025-02-27T02:00:00.000Z,2025-02-27T02:00,4.4,39.92,39.92,1.37757622656,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
FR,Paris,48.8566,2.3522,17,2025-02-27T03:00:00.000Z,2025-02-27T03:00,4.0,39.2,39.2,1.366093056,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
FR,Paris,48.8566,2.3522,18,2025-02-27T04:00:00.000Z,2025-02-27T04:00,3.8,38.839999999999996,38.839999999999996,1.36027775424,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
FR,Paris,48.8566,2.3522,19,2025-02-27T05:00:00.000Z,2025-02-27T05:00,3.4,38.12,38.12,1.34849971776,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
FR,Paris,48.8566,2.3522,20,2025-02-27T06:00:00.000Z,2025-02-27T06:00,3.4,38.12,38.12,1.34849971776,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
FR,Paris,48.8566,2.3522,21,2025-02-27T07:00:00.000Z,2025-02-27T07:00,3.0,37.4,37.4,1.336525104,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
FR,Paris,48.8566,2.3522,22,2025-02-27T08:00:00.000Z,2025-02-27T08:00,3.2,37.76,37.76,1.34253698304,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
FR,Paris,48.8566,2.3522,23,2025-02-27T09:00:00.000Z,2025-02-27T09:00,4.0,39.2,39.2,1.366093056,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
FR,Paris,48.8566,2.3522,24,2025-02-27T10:00:00.000Z,2025-02-27T10:00,4.7,40.46,40.46,1.38605960064,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
ES,Madrid,40.4168,-3.7038,0,2025-02-26T10:00:00.000Z,2025-02-26T10:00,3.0,37.4,37.4,1.336525104,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=40.4168&longitude=-3.7038&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
ES,Madrid,40.4168,-3.7038,1,2025-02-26T11:00:00.000Z,2025-02-26T11:00,4.1,39.38,39.38,1.36898227776,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=40.4168&longitude=-3.7038&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
ES,Madrid,40.4168,-3.7038,2,2025-02-26T12:00:00.000Z,2025-02-26T12:00,5.1,41.18,41.18,1.39719876096,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=40.4168&longitude=-3.7038&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
